variant,seed,r2,rmse_0_100,novel_test_pitchers,n_test,n_test_pitchers,epochs,train_time_s
r1_grouped,100,-0.1876167905679802,185.9352801220553,20,947,20,21,16.7
r1_grouped,200,-0.004564113167703221,212.65001589326172,20,605,20,21,21.7
r1_grouped,300,-0.016761837952882663,151.3457748740029,20,951,20,17,15.6
r1_grouped,400,0.03540867403013592,202.9220153296535,20,913,20,24,23.5
r1_grouped,500,-0.24067536589531846,221.66565681710458,20,728,20,27,28.8
r1_grouped,600,-0.12125644744125963,220.83924918390457,20,748,20,22,23.1
r1_grouped,700,-0.2469478834030996,183.2278314067853,20,884,20,21,21.1
r1_grouped,800,-0.35571856689257686,247.02491098411252,20,985,20,30,29.1
r1_grouped,900,-0.32757679294994824,261.0007748307733,20,734,20,31,33.0
r1_grouped,1000,-0.0674991798115665,190.9193149531371,20,627,20,21,21.4
