section,H,B,model,n_test_windows,n_test_pos,base_rate,pr_auc,pr_lo,pr_hi,roc_auc,roc_lo,roc_hi,prec_at_10,prec_at_20,prec_at_50,evrec_total,evrec_10,evrec_20,evrec_50,cal_slope,cal_intercept
main,90,0,null,8011,118,0.014729746598427162,0.014729746598427162,,,0.5,,,0.008333333333333333,0.004166666666666667,0.008333333333333333,52.0,1.0,1.0,4.0,,
main,90,0,dsl_only,8011,118,0.014729746598427162,0.0131137611771788,0.009621152747117775,0.017485606960125976,0.481971796507096,0.43186840783149094,0.5322835998456792,0.008333333333333333,0.012500000000000002,0.011666666666666667,52.0,1.0,3.0,7.0,2.817273559699025,-4.2193146993487645
main,90,0,workload,8011,118,0.014729746598427162,0.023420736514012663,0.0161875893657096,0.03369017369910138,0.6396909297446568,0.5848096791514434,0.6929269826310024,0.025000000000000005,0.016666666666666666,0.028333333333333335,52.0,3.0,4.0,15.0,1.4025393724587176,-4.255690440785642
main,150,0,null,8011,162,0.020222194482586442,0.020222194482586442,,,0.5,,,0.008333333333333333,0.008333333333333333,0.015,56.0,1.0,2.0,7.0,,
main,150,0,dsl_only,8011,162,0.020222194482586442,0.018496839932938887,0.013691181845726482,0.02459905624936212,0.49486605984248994,0.4445379460015008,0.5460486968357805,0.016666666666666666,0.008333333333333333,0.006666666666666667,56.0,2.0,2.0,2.0,-0.011832604613984408,-3.8804374674217015
main,150,0,workload,8011,162,0.020222194482586442,0.032400299960994694,0.023179655227442225,0.04452673922706014,0.6341933941415829,0.5733653278686313,0.6931926659973664,0.008333333333333333,0.012500000000000002,0.03333333333333333,56.0,1.0,3.0,14.0,1.1853890559020446,-3.919160954259628
blackout,90,0,workload,8011,118,0.014729746598427162,0.023420736514012663,0.0161875893657096,0.03369017369910138,0.6396909297446568,0.5848096791514434,0.6929269826310024,,,,,,,,,
blackout,90,30,workload,8011,75,0.009362127075271502,0.015486440685463744,0.010465173195960336,0.023554006186240352,0.6217473118279571,0.5521106077951101,0.6815735338668771,,,,,,,,,
blackout,90,60,workload,8011,34,0.004244164274123081,0.0067783826500790794,0.003914940264093528,0.015320413537020676,0.5836504214322058,0.48195654643511043,0.6728210560284272,,,,,,,,,
blackout,150,0,workload,8011,162,0.020222194482586442,0.032400299960994694,0.023179655227442225,0.04452673922706014,0.6341933941415829,0.5733653278686313,0.6931926659973664,,,,,,,,,
blackout,150,30,workload,8011,119,0.014854574959430782,0.024736584170278995,0.01702825870732103,0.03615328077768087,0.6311683568511033,0.5650708852417071,0.6966002716608595,,,,,,,,,
blackout,150,60,workload,8011,78,0.009736612158282362,0.014835945638535008,0.00971269251806881,0.02227282642953889,0.6331293816482271,0.5594666456017279,0.7054212476069199,,,,,,,,,
blackout,150,90,workload,8011,44,0.005492447884159281,0.008784523609179874,0.00568787376491971,0.014661980189477635,0.6480553305110855,0.5609524643107778,0.7344889682764433,,,,,,,,,
