feature,cov_train,cov_valid,cov_test,cov_all
ff_velo_tau15,0.9333283166528707,0.9314207650273224,0.9290974909499439,0.9316907051282052
sl_velo_tau15,0.7315825118519076,0.7489071038251366,0.7768068905255274,0.7486378205128206
ff_spin_tau15,0.9333283166528707,0.9314207650273224,0.9290974909499439,0.9316907051282052
ff_velo_sen5,0.9492061103168034,0.9530054644808743,0.9496941705155412,0.9499198717948718
fb_usage_delta,0.9368650763789601,0.9371584699453552,0.954312819872675,0.9425080128205128
cu_usage_delta,0.9368650763789601,0.9371584699453552,0.954312819872675,0.9425080128205128
ff_velo_sd_recent,0.9647076529460457,0.969672131147541,0.9699163649981276,0.9671073717948718
ff_velo_sd_rel,0.9014974791180675,0.8939890710382514,0.9003869679191112,0.9000400641025641
ff_relx_sd_recent,0.9647076529460457,0.969672131147541,0.9699163649981276,0.9671073717948718
ff_relx_sd_rel,0.9014974791180675,0.8939890710382514,0.9003869679191112,0.9000400641025641
ff_ext_sd_rel,0.9014974791180675,0.8939890710382514,0.9003869679191112,0.9000400641025641
ff_relx_drift,0.7920084280231771,0.7986338797814208,0.8187492198227437,0.8015625
trend_missing (=1 share),0.3153736172774475,0.3038251366120219,0.27886655848208713,0.30196314102564104
var_missing (=1 share),0.20799157197682294,0.20136612021857925,0.18125078017725627,0.1984375
