H,model,k,caught,total
90,M0_workload,10,3,52
90,M0_workload,20,4,52
90,M0_workload,50,15,52
90,M1_trend,10,0,52
90,M1_trend,20,2,52
90,M1_trend,50,8,52
90,M2_variability,10,2,52
90,M2_variability,20,2,52
90,M2_variability,50,9,52
90,M3_all,10,1,52
90,M3_all,20,2,52
90,M3_all,50,5,52
90,GBM_M3,10,0,52
90,GBM_M3,20,1,52
90,GBM_M3,50,6,52
150,M0_workload,10,1,56
150,M0_workload,20,3,56
150,M0_workload,50,14,56
150,M1_trend,10,0,56
150,M1_trend,20,2,56
150,M1_trend,50,5,56
150,M2_variability,10,2,56
150,M2_variability,20,4,56
150,M2_variability,50,11,56
150,M3_all,10,0,56
150,M3_all,20,1,56
150,M3_all,50,5,56
150,GBM_M3,10,2,56
150,GBM_M3,20,4,56
150,GBM_M3,50,11,56
