H,model,n_feat,pr_auc,pr_lo,pr_hi,roc_auc,roc_lo,roc_hi,base_rate,evrec_total,evrec_10,evrec_20,evrec_50
90,M0_workload,8,0.023420736514012663,0.0161875893657096,0.03369017369910138,0.6396909297446568,0.5848096791514434,0.6929269826310024,0.014729746598427162,52,3,4,15
90,M1_trend,15,0.017627088739370425,0.01209462700514193,0.026079499651334364,0.5651682353168545,0.49371559448000024,0.6342568856871532,0.014729746598427162,52,0,2,8
90,M2_variability,15,0.021168856210759222,0.014553032275972691,0.030446380030616494,0.6023326826817154,0.5401156321822262,0.6596943380038311,0.014729746598427162,52,2,2,9
90,M3_all,22,0.01661767139419549,0.011851250891222636,0.02372996338717447,0.5497823645495794,0.4782854400487092,0.6134745166840624,0.014729746598427162,52,1,2,5
90,GBM_M3,22,0.014519664345317108,0.0103193683528305,0.02103396272455729,0.4976846036071439,0.43268274221304304,0.5705989699182973,0.014729746598427162,52,0,1,6
150,M0_workload,8,0.032400299960994694,0.023179655227442225,0.04452673922706014,0.6341933941415829,0.5733653278686313,0.6931926659973664,0.020222194482586442,56,1,3,14
150,M1_trend,15,0.024242226452157727,0.01699762110166275,0.03455336507391692,0.5634979056858702,0.4966988472367322,0.630681012623394,0.020222194482586442,56,0,2,5
150,M2_variability,15,0.029822189207057422,0.02092016222200742,0.04090165975453391,0.6291939367915076,0.5745644431488103,0.6789624693830614,0.020222194482586442,56,2,4,11
150,M3_all,22,0.02416820041433885,0.017252487364887905,0.03300527641400228,0.5794518134731326,0.5156212050811029,0.6412835699185071,0.020222194482586442,56,0,1,5
150,GBM_M3,22,0.025945006859436723,0.01733487216040106,0.04566813707932039,0.53716129600531,0.4694931543001011,0.6082210937004219,0.020222194482586442,56,2,4,11
