block,H,variant,roc,droc,droc_lo,droc_hi,dpr,dpr_lo,dpr_hi,rp_within,total_caught,rp_caught,rp_events,n_events
model,90,A1_pooled,0.7014,0.00884,-0.00685,0.02603,0.00082,-0.00348,0.00631,0.6729,,,,
model,90,A1_interaction,0.6894,-0.0038,-0.03753,0.03069,-0.00475,-0.01428,0.00159,0.632,,,,
model,90,Cohen_relx,0.682,-0.0101,-0.04271,0.01906,-0.00579,-0.01596,1e-05,0.6231,,,,
model,90,A1_separate,0.6998,0.00693,-0.03676,0.04801,,,,0.6735,,,,
model,150,A1_pooled,0.6905,-0.00128,-0.01332,0.0102,0.00123,-0.00209,0.00783,0.6533,,,,
model,150,A1_interaction,0.6815,-0.01042,-0.0392,0.01607,-0.00348,-0.01026,0.00153,0.6137,,,,
model,150,Cohen_relx,0.6838,-0.00798,-0.03593,0.02063,-0.00437,-0.01169,0.00157,0.6268,,,,
model,150,A1_separate,0.6917,0.00015,-0.03467,0.03389,,,,0.6472,,,,
quota,90,q0,,,,,,,,,21.0,0.0,37.0,75.0
quota,90,q20,,,,,,,,,19.0,5.0,37.0,75.0
quota,150,q0,,,,,,,,,24.0,0.0,40.0,80.0
quota,150,q20,,,,,,,,,22.0,5.0,40.0,80.0
