H,model,roc,roc_lo,roc_hi,pr,ev50,ev_total,y22,y23,y24,y25,droc,droc_lo,droc_hi,dpr,dpr_lo,dpr_hi
90,M_sa,0.6787396597252867,0.6287773748584025,0.7254862712513094,0.028063817198601102,28,94,0.6919403799583888,0.6185546029271672,0.7796055036481409,0.6321795708024948,,,,,,
90,hazard,0.6893379305675214,0.6354017315618293,0.7384762026252872,0.02803625813798244,26,94,0.6723541048466865,0.6478609162553043,0.7959575577683223,0.6477529392104965,,,,,,
150,M_sa,0.6872158923388391,0.6410101355285303,0.7348831635928987,0.038245764020476046,28,100,0.6875403140801153,0.6318940162112118,0.8158451177159085,0.6274060883575002,,,,,,
150,hazard,0.6929407422452558,0.6460241837923848,0.7397076468896159,0.039443578056500554,29,100,0.6800863389938235,0.6507882024700999,0.8151236640635493,0.6387324199585711,,,,,,
90,B1_vdecay,0.6738826783033427,,,,29,94,,,,,-0.004715613721806622,-0.011845597180187042,0.0019064637353649427,-0.0012492548665904019,-0.0034951588310590327,-0.0001833621821509552
90,prior_tjs,0.6880675039283122,,,,33,94,,,,,0.009241209845647469,-0.03238980858014175,0.0522082416913897,0.004424147739984544,-0.00020448204191604252,0.011234094766711835
90,both,0.6842883276013831,,,,31,94,,,,,0.005321675377150226,-0.03670985039389072,0.04840641853821505,0.002835683621736829,-0.001406934623035572,0.00807082671206916
150,B1_vdecay,0.6834963669599743,,,,27,100,,,,,-0.0034757746316200766,-0.010342903838041836,0.0025664265071800854,-0.000869951552347873,-0.002989241029988586,0.0004738802122761605
150,prior_tjs,0.7052631578947368,,,,29,100,,,,,0.017593635836752386,-0.017511708193032337,0.050943638307237256,0.004935351780645723,-0.0008410360090939702,0.011423158618113745
150,both,0.7014685038252297,,,,27,100,,,,,0.013948162335048753,-0.020027709067488252,0.048070458756253105,0.003969606689251918,-0.0016295609226909076,0.010437090621420035
