H,contrast,dpr_med,dpr_lo,dpr_hi,dpr_excl0,droc_med,droc_lo,droc_hi,droc_excl0,nboot
90,T2g_increment_LR,-0.008829676543043794,-0.03831251344854759,0.0030033366073647476,False,-0.001578512062161197,-0.051547256504134296,0.049385751303230474,False,1000
90,T2g_increment_HGB,0.007838197219457315,-0.016541100014266293,0.04739394334529474,False,-0.07229289628084884,-0.16255684633623546,0.016397847581661604,False,1000
90,content_g_vs_Mrole_LR,-0.019828402411750417,-0.05269571153160824,-0.0018861681550779465,True,-0.10105974077854718,-0.20682732629361256,0.011264699679746255,False,1000
90,content_g_vs_Mrole_HGB,-0.010425064744598214,-0.0449235723552876,0.024863390776177607,False,-0.11057000210896362,-0.20993257469662513,-0.0016608610189279087,True,1000
90,SUBSET_T2cal_incr_LR,0.002984922555631906,-0.01545586380097338,0.04600404380905383,False,0.026133446620387857,-0.06006348908698702,0.10959765911361444,False,1000
90,SUBSET_T2cal_incr_HGB,-0.009542723214285776,-0.049228728802964104,0.00044519567241161793,False,-0.04723380851359982,-0.1359296352322953,0.03980769283306572,False,1000
150,T2g_increment_LR,-0.012340206596393984,-0.032015271003764736,-0.0009006242817643877,True,-0.011593010391896474,-0.045960445534865,0.026490685296871107,False,1000
150,T2g_increment_HGB,-0.00019312602732521333,-0.01981926557975512,0.028351636010015308,False,-0.07591995048585443,-0.13745690177901337,-0.016784305238256886,True,1000
150,content_g_vs_Mrole_LR,-0.025963880571150934,-0.055033269380740026,-0.007970415484795615,True,-0.10418783776411189,-0.19816390380212173,-0.004594879474617413,True,1000
150,content_g_vs_Mrole_HGB,-0.026664254272457735,-0.05490920354538407,-0.00826830162251357,True,-0.15628781562479158,-0.23321278923771085,-0.06772442163939654,True,1000
150,SUBSET_T2cal_incr_LR,-0.006795180860256194,-0.028505364406091582,0.015938019825234077,False,-0.00882933359419652,-0.06671027153114661,0.052086715774235626,False,1000
150,SUBSET_T2cal_incr_HGB,-0.012681318842222188,-0.049759064351821335,0.014487299624952597,False,-0.06980560882705572,-0.13777536029280435,-0.000160487568712037,True,1000
