H,model,roc,droc,droc_lo,droc_hi,dpr,dpr_lo,dpr_hi,ev50,ev50_total
90,M_sa,0.692027128757317,0.014472971037036542,-0.0065526414892237515,0.03920023491970192,0.0014483341219992535,-0.007458439489210425,0.00968839405809559,24.0,75.0
90,+prior_only,0.6844576234827222,0.007161032642328091,-0.0012096595847754827,0.01473843541632966,0.002673364157865194,-0.00045943380540190823,0.012879550207303867,19.0,75.0
90,+ncg_only,0.6784505840687576,0.001410611172219578,-0.019921424279415432,0.024056818817655923,-0.00158927418077647,-0.012046673729405669,0.002894408349244865,24.0,75.0
90,+vtmiss_only,0.6812390878158947,0.0037070054417076004,-0.0014570297646158664,0.009868889551678839,0.002215261380937694,-0.0010839778739403783,0.010774440082735823,22.0,75.0
90,+prior+vtmiss,0.6868878500588935,0.009294237054192855,-2.1873162039278926e-05,0.018505100840332484,0.006568494520841635,-6.0796285750604675e-05,0.01720732516755981,22.0,75.0
90,+prior+ncg,0.6892021269199982,0.01175634982761592,-0.010838998914551909,0.036257561824274115,0.00027236377941352967,-0.008345630270040988,0.005672131195856758,24.0,75.0
90,M_sa_C0.1,0.6921050906642355,0.014557999384681719,-0.00668105418238738,0.03933115486057555,0.0014795336002445605,-0.007371965483666125,0.009644533284228578,24.0,75.0
90,ROLL_2022,0.6919403799583888,0.0027197748746198847,-0.03783207691484479,0.0443882014998047,0.01233741990347936,-0.0033598007115439982,0.04917433153883218,,
90,ROLL_2023,0.6192171126699575,0.01627050537141278,-0.018458071154965096,0.049805084780640746,-0.002572940427933308,-0.027358502114459136,0.012574706961487084,,
90,ROLL_2024,0.7770466874296326,0.03179156573039138,-0.006550941731272589,0.06722656868693631,0.005550280463679051,-0.0038073623546298796,0.01963142379678138,,
150,M_sa,0.7039824412671828,0.01651998318898329,0.0013477001669222194,0.02979200709679322,0.002593413478341671,-0.0042005312398209205,0.009244536972415496,23.0,80.0
150,+prior_only,0.6955974256306083,0.007879179208027387,-0.005394086455092936,0.020233370847629696,0.0005131217035084686,-0.005657506560774785,0.0046380107684076514,21.0,80.0
150,+ncg_only,0.6910084308962964,0.0036674574721537456,-0.004640647069507728,0.010935237153080986,0.0008792985659168452,-0.0029335257083464277,0.0035862860738562997,25.0,80.0
150,+vtmiss_only,0.688627837635218,0.0011149371833528154,-0.00030147627807798616,0.00254006593912707,0.00023025863469902652,-0.00038745745208867245,0.0007463528990236962,25.0,80.0
150,+prior+vtmiss,0.696327801153592,0.008673514051042941,-0.004656801179110606,0.020933752546974927,0.0006935687634109441,-0.005522295734725712,0.005014922530942511,22.0,80.0
150,+prior+ncg,0.7034047536078547,0.015872666693365067,0.0007148897637920871,0.02931219158049636,0.0024460045166235928,-0.004386400659602285,0.008898779665115085,23.0,80.0
150,M_sa_C0.1,0.7039738966908714,0.016494240509646263,0.0012693289537241748,0.02987394651301211,0.002623692224943179,-0.004214532644522122,0.009328802764088385,23.0,80.0
150,ROLL_2022,0.6875403140801153,0.01392547160885299,-0.007388882179869693,0.035610405366695526,0.005820251745832098,-0.0007874002168390303,0.024220281189912436,,
150,ROLL_2023,0.6224469230817676,0.02175281494282988,-0.01397367021234113,0.05358670732544267,-0.002130908348641627,-0.019682498619106654,0.0074668475668445995,,
150,ROLL_2024,0.8087687318917052,0.02809799830406612,-0.007317483410002539,0.059158464440578214,0.008691143415536891,-0.0030128025268531967,0.024372716413029284,,
