section,test_year,H,B,model,featset,n_fit,n_fit_embargoed,n_test,n_test_pos,distinct_surg,base_rate,pr_auc,pr_lo,pr_hi,roc_auc,roc_lo,roc_hi,evrec_total,evrec_10,evrec_20,evrec_50,dpr_point,dpr_lo,dpr_hi,droc_point,droc_lo,droc_hi,nboot
rolling,2021,90,0,M0dp,curated_orth5,13289.0,0.0,3660.0,35,17.0,0.009562841530054645,0.013920897101379835,0.00711911641565649,0.030607347477581287,0.5909044334975369,0.4954858937902079,0.6873744123225393,17.0,0.0,1.0,3.0,,,,,,,1000.0
rolling,2021,90,0,M-role,m0dp+start_share,13289.0,0.0,3660.0,35,17.0,0.009562841530054645,0.014328061795361238,0.007590808918426394,0.026397622487032136,0.6303487684729064,0.5497454243748938,0.704077198379124,17.0,1.0,2.0,3.0,0.0004071646939814034,-0.01281255630380636,0.008123328114847278,0.03944433497536959,-0.060099229359203234,0.1444696114238758,1000.0
rolling,2021,150,0,M0dp,curated_orth5,13289.0,0.0,3660.0,47,17.0,0.012841530054644808,0.018232622804255978,0.010102153100139228,0.0351408145140494,0.6102519860315292,0.5218553705298535,0.7120180983978915,17.0,0.0,0.0,1.0,,,,,,,1000.0
rolling,2021,150,0,M-role,m0dp+start_share,13289.0,0.0,3660.0,47,17.0,0.012841530054644808,0.02095914940222654,0.010539261443515587,0.040198775441330964,0.6384392059407225,0.5489922694878432,0.7470661543721988,17.0,1.0,1.0,3.0,0.002726526597970562,-0.009062594995022138,0.015567127543516576,0.028187219909193262,-0.05697083471675921,0.10661302665834001,1000.0
rolling,2022,90,0,M0dp,curated_orth5,16949.0,0.0,4102.0,58,24.0,0.014139444173573866,0.02694266435803136,0.01607240254515839,0.05042586847129273,0.6651574064599748,0.5821685217723849,0.7462830178550502,24.0,1.0,5.0,12.0,,,,,,,1000.0
rolling,2022,90,0,M-role,m0dp+start_share,16949.0,0.0,4102.0,58,24.0,0.014139444173573866,0.03582532365908439,0.017735612338172765,0.07361769473787894,0.688041457757768,0.5855022134787895,0.7786308202238797,24.0,4.0,5.0,7.0,0.00888265930105303,-0.013103777915985671,0.040111298542122226,0.02288405129779325,-0.0637500850559085,0.1124824262184292,1000.0
rolling,2022,150,0,M0dp,curated_orth5,16949.0,0.0,4102.0,79,27.0,0.019258898098488544,0.029398497846395116,0.01798065930317875,0.04584170258059043,0.6395929103855363,0.5728185792082789,0.7140152762306932,27.0,0.0,0.0,7.0,,,,,,,1000.0
rolling,2022,150,0,M-role,m0dp+start_share,16949.0,0.0,4102.0,79,27.0,0.019258898098488544,0.03954177946436823,0.02160044661587291,0.07319511291515944,0.672795980076585,0.5778794475602391,0.767177427020033,27.0,4.0,4.0,7.0,0.010143281617973114,-0.004261226576407584,0.03826497190907336,0.03320306969104869,-0.034228330609573906,0.1027276757069985,1000.0
rolling,2023,90,0,M0dp,curated_orth5,21051.0,0.0,3909.0,60,28.0,0.015349194167306216,0.020957139509368776,0.013040144663958317,0.03443802569445643,0.5721421148350221,0.4660611475666872,0.666292249675469,28.0,4.0,5.0,7.0,,,,,,,1000.0
rolling,2023,90,0,M-role,m0dp+start_share,21051.0,0.0,3909.0,60,28.0,0.015349194167306216,0.04002260614117438,0.016294149936975002,0.11215218577490274,0.602517970035507,0.5029541916920295,0.7007750319287457,28.0,2.0,2.0,7.0,0.019065466631805604,-0.00037137233136027984,0.08060663061243169,0.030375855200484914,-0.02424753877350368,0.09118451050467999,1000.0
rolling,2023,150,0,M0dp,curated_orth5,21051.0,0.0,3909.0,83,29.0,0.021233051931440265,0.030070538862984785,0.018807843262825315,0.04741718145940292,0.5868723193873245,0.48182682702874424,0.6850161438090678,29.0,3.0,6.0,7.0,,,,,,,1000.0
rolling,2023,150,0,M-role,m0dp+start_share,21051.0,0.0,3909.0,83,29.0,0.021233051931440265,0.044038465243365334,0.024556849557163786,0.08465048663271851,0.6008729114051607,0.5000029633452833,0.7082552926298328,29.0,2.0,7.0,8.0,0.013967926380380549,-0.00015944096808007444,0.04427020957659791,0.014000592017836211,-0.035460671743185415,0.06290594615751219,1000.0
anchor_main,-1,90,0,M0dp,main_fold_check,,,,1,,,0.022711717638728597,,,0.6156866092461246,,,,,,,1.1717638728595686e-05,,,0.00012960924612459568,,,
anchor_main,-1,90,0,M-role,main_fold_check,,,,1,,,0.03597296828376807,,,0.6436801972140086,,,,,,,2.9682837680705676e-06,,,1.9721400856820281e-07,,,
anchor_main,-1,150,0,M0dp,main_fold_check,,,,1,,,0.030076371478343782,,,0.6189166190864921,,,,,,,-0.00012662852165621838,,,-0.00021438091350789445,,,
anchor_main,-1,150,0,M-role,main_fold_check,,,,1,,,0.046995064052432395,,,0.643774704334436,,,,,,,-4.935947567605292e-06,,,4.704334436000934e-06,,,
